Function                                                                                                                                                                                                                                                                                                                                                                                                                                         CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Overhead Time  Module            Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Source File                   Start Address
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  --------  -----------------------  ------------------  ----------------------  ----------------  --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------------------------  -------------
operator()                                                                                                                                                                                                                                                                                                                                                                                                                                         8.050s                   8.050s                  0s                      0s  renderer          operator()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              mesh.cpp                      0x7b65       
std::vector<unsigned int, std::allocator<unsigned int>>::size                                                                                                                                                                                                                                                                                                                                                                                      2.730s                   2.730s                  0s                      0s  renderer          std::vector<unsigned int, std::allocator<unsigned int>>::size(void) const                                                                                                                                                                                                                                                                                                                                                                                                                                                               stl_vector.h                  0x1a7aa      
std::vector<unsigned int, std::allocator<unsigned int>>::operator[]                                                                                                                                                                                                                                                                                                                                                                                0.840s                   0.840s                  0s                      0s  renderer          std::vector<unsigned int, std::allocator<unsigned int>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                      stl_vector.h                  0x1a7f1      
func@0x146620                                                                                                                                                                                                                                                                                                                                                                                                                                      0.482s                   0.482s                  0s                      0s  iris_dri.so       func@0x146620                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]                     0x146620     
operator()                                                                                                                                                                                                                                                                                                                                                                                                                                         0.390s                   0.390s                  0s                      0s  renderer          operator()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              mesh.cpp                      0x7b42       
stbi__create_png_image_raw                                                                                                                                                                                                                                                                                                                                                                                                                         0.330s                   0.330s                  0s                      0s  renderer          stbi__create_png_image_raw(stbi__png*, unsigned char*, unsigned int, int, unsigned int, unsigned int, int, int)                                                                                                                                                                                                                                                                                                                                                                                                                         stb_image.h                   0x4d620      
std::vector<unsigned int, std::allocator<unsigned int>>::size                                                                                                                                                                                                                                                                                                                                                                                      0.210s                   0.210s                  0s                      0s  renderer          std::vector<unsigned int, std::allocator<unsigned int>>::size(void) const                                                                                                                                                                                                                                                                                                                                                                                                                                                               stl_vector.h                  0x1a112      
stbi__jpeg_decode_block                                                                                                                                                                                                                                                                                                                                                                                                                            0.200s                   0.200s                  0s                      0s  renderer          stbi__jpeg_decode_block(stbi__jpeg*, short*, stbi__huffman*, stbi__huffman*, short*, int, unsigned short*)                                                                                                                                                                                                                                                                                                                                                                                                                              stb_image.h                   0x58050      
stbi__parse_huffman_block                                                                                                                                                                                                                                                                                                                                                                                                                          0.200s                   0.200s                  0s                      0s  renderer          stbi__parse_huffman_block                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               stb_image.h                   0x5163f      
